match_id,tournament_id,group_id,match_name,stage_name,replay,match_date,match_time,stadium_id,home_team_id,away_team_id,home_team_score,away_team_score,extra_time,penalty_shootout,home_team_score_penalties,away_team_score_penalties
M-2010-34,WC-2010,112.0,Mexico vs Uruguay,group stage,0,2010-06-22,16:00,S-169,T-46,T-84,0,1,0,0,0,0
M-2010-35,WC-2010,113.0,Greece vs Argentina,group stage,0,2010-06-22,20:30,S-166,T-33,T-03,0,2,0,0,0,0
M-2010-36,WC-2010,113.0,Nigeria vs South Korea,group stage,0,2010-06-22,20:30,S-162,T-50,T-71,2,2,0,0,0,0
M-2010-37,WC-2010,114.0,Slovenia vs England,group stage,0,2010-06-23,16:00,S-167,T-69,T-28,0,1,0,0,0,0
M-2010-38,WC-2010,114.0,United States vs Algeria,group stage,0,2010-06-23,16:00,S-168,T-83,T-01,1,0,0,0,0,0
M-2010-39,WC-2010,115.0,Australia vs Serbia,group stage,0,2010-06-23,20:30,S-165,T-04,T-66,2,1,0,0,0,0
M-2010-40,WC-2010,115.0,Ghana vs Germany,group stage,0,2010-06-23,20:30,S-164,T-32,T-31,0,1,0,0,0,0
M-2010-41,WC-2010,117.0,Paraguay vs New Zealand,group stage,0,2010-06-24,16:00,S-166,T-55,T-49,0,0,0,0,0,0
M-2010-42,WC-2010,117.0,Slovakia vs Italy,group stage,0,2010-06-24,16:00,S-163,T-68,T-41,3,2,0,0,0,0
M-2010-43,WC-2010,116.0,Cameroon vs Netherlands,group stage,0,2010-06-24,20:30,S-161,T-11,T-48,1,2,0,0,0,0
M-2010-44,WC-2010,116.0,Denmark vs Japan,group stage,0,2010-06-24,20:30,S-169,T-22,T-44,1,3,0,0,0,0
M-2010-45,WC-2010,118.0,North Korea vs Ivory Coast,group stage,0,2010-06-25,16:00,S-165,T-51,T-42,0,3,0,0,0,0
M-2010-46,WC-2010,118.0,Portugal vs Brazil,group stage,0,2010-06-25,16:00,S-162,T-58,T-09,0,0,0,0,0,0
M-2010-47,WC-2010,119.0,Chile vs Spain,group stage,0,2010-06-25,20:30,S-168,T-13,T-73,1,2,0,0,0,0
M-2010-48,WC-2010,119.0,Switzerland vs Honduras,group stage,0,2010-06-25,20:30,S-160,T-75,T-35,0,0,0,0,0,0
M-2010-49,WC-2010,,Uruguay vs South Korea,round of 16,0,2010-06-26,16:00,S-167,T-84,T-71,2,1,0,0,0,0
M-2010-50,WC-2010,,United States vs Ghana,round of 16,0,2010-06-26,20:30,S-169,T-83,T-32,1,2,1,0,0,0
M-2010-51,WC-2010,,Germany vs England,round of 16,0,2010-06-27,16:00,S-160,T-31,T-28,4,1,0,0,0,0
M-2010-52,WC-2010,,Argentina vs Mexico,round of 16,0,2010-06-27,20:30,S-164,T-03,T-46,3,1,0,0,0,0
M-2010-53,WC-2010,,Netherlands vs Slovakia,round of 16,0,2010-06-28,16:00,S-162,T-48,T-68,2,1,0,0,0,0
M-2010-54,WC-2010,,Brazil vs Chile,round of 16,0,2010-06-28,20:30,S-163,T-09,T-13,3,0,0,0,0,0
M-2010-55,WC-2010,,Paraguay vs Japan,round of 16,0,2010-06-29,16:00,S-168,T-55,T-44,0,0,1,1,5,3
M-2010-56,WC-2010,,Spain vs Portugal,round of 16,0,2010-06-29,20:30,S-161,T-73,T-58,1,0,0,0,0,0
M-2010-57,WC-2010,,Netherlands vs Brazil,quarter-finals,0,2010-07-02,16:00,S-167,T-48,T-09,2,1,0,0,0,0
M-2010-58,WC-2010,,Uruguay vs Ghana,quarter-finals,0,2010-07-02,20:30,S-164,T-84,T-32,1,1,1,1,4,2
M-2010-59,WC-2010,,Argentina vs Germany,quarter-finals,0,2010-07-03,16:00,S-161,T-03,T-31,0,4,0,0,0,0
M-2010-60,WC-2010,,Paraguay vs Spain,quarter-finals,0,2010-07-03,20:30,S-163,T-55,T-73,0,1,0,0,0,0
M-2010-61,WC-2010,,Uruguay vs Netherlands,semi-finals,0,2010-07-06,20:30,S-161,T-84,T-48,2,3,0,0,0,0
M-2010-62,WC-2010,,Germany vs Spain,semi-finals,0,2010-07-07,20:30,S-162,T-31,T-73,0,1,0,0,0,0
M-2010-63,WC-2010,,Uruguay vs Germany,third-place match,0,2010-07-10,20:30,S-167,T-84,T-31,2,3,0,0,0,0
M-2010-64,WC-2010,,Netherlands vs Spain,final,0,2010-07-11,20:30,S-164,T-48,T-73,0,1,1,0,0,0
M-2014-01,WC-2014,124.0,Brazil vs Croatia,group stage,0,2014-06-12,17:00,S-022,T-09,T-18,3,1,0,0,0,0
M-2014-02,WC-2014,124.0,Mexico vs Cameroon,group stage,0,2014-06-13,13:00,S-015,T-46,T-11,1,0,0,0,0,0
M-2014-03,WC-2014,125.0,Spain vs Netherlands,group stage,0,2014-06-13,16:00,S-021,T-73,T-48,1,5,0,0,0,0
M-2014-04,WC-2014,125.0,Chile vs Australia,group stage,0,2014-06-13,18:00,S-010,T-13,T-04,3,1,0,0,0,0
