player_appointment_id,tournament_id,team_id,player_id,shirt_number
PA-6459,WC-1998,T-30,P-96540,4
PA-6460,WC-1998,T-30,P-74952,5
PA-6461,WC-1998,T-30,P-80680,6
PA-6462,WC-1998,T-30,P-61954,7
PA-6463,WC-1998,T-30,P-79380,8
PA-6464,WC-1998,T-30,P-26820,9
PA-6465,WC-1998,T-30,P-56430,10
PA-6466,WC-1998,T-30,P-99420,11
PA-6467,WC-1998,T-30,P-51395,12
PA-6468,WC-1998,T-30,P-54985,13
PA-6469,WC-1998,T-30,P-10738,14
PA-6470,WC-1998,T-30,P-56947,15
PA-6471,WC-1998,T-30,P-55991,16
PA-6472,WC-1998,T-30,P-40400,17
PA-6473,WC-1998,T-30,P-19907,18
PA-6474,WC-1998,T-30,P-28482,19
PA-6475,WC-1998,T-30,P-12167,20
PA-6476,WC-1998,T-30,P-74065,21
PA-6477,WC-1998,T-30,P-75179,22
PA-6478,WC-1998,T-31,P-45405,1
PA-6479,WC-1998,T-31,P-53262,2
PA-6480,WC-1998,T-31,P-78998,3
PA-6481,WC-1998,T-31,P-83968,4
PA-6482,WC-1998,T-31,P-87830,5
PA-6483,WC-1998,T-31,P-45408,6
PA-6484,WC-1998,T-31,P-37963,7
PA-6485,WC-1998,T-31,P-49502,8
PA-6486,WC-1998,T-31,P-09705,9
PA-6487,WC-1998,T-31,P-77552,10
PA-6488,WC-1998,T-31,P-62028,11
PA-6489,WC-1998,T-31,P-33751,12
PA-6490,WC-1998,T-31,P-65108,13
PA-6491,WC-1998,T-31,P-83522,14
PA-6492,WC-1998,T-31,P-94904,15
PA-6493,WC-1998,T-31,P-35902,16
PA-6494,WC-1998,T-31,P-67544,17
PA-6495,WC-1998,T-31,P-91373,18
PA-6496,WC-1998,T-31,P-74629,19
PA-6497,WC-1998,T-31,P-84534,20
PA-6498,WC-1998,T-31,P-15678,21
PA-6499,WC-1998,T-31,P-98511,22
PA-6500,WC-1998,T-38,P-56772,1
PA-6501,WC-1998,T-38,P-93633,2
