group_standing_id,group_id,position,team_id,played,wins,draws,losses,goals_for,goals_against,goal_difference,points,advanced
410,105,4,T-44,3,0,1,2,2,7,-5,1,0
411,106,1,T-75,3,2,1,0,4,0,4,7,1
412,106,2,T-30,3,1,2,0,3,1,2,5,1
413,106,3,T-71,3,1,1,1,3,4,-1,4,0
414,106,4,T-77,3,0,0,3,1,6,-5,0,0
415,107,1,T-73,3,3,0,0,8,1,7,9,1
416,107,2,T-81,3,2,0,1,5,4,1,6,1
417,107,3,T-79,3,0,1,2,3,6,-3,1,0
418,107,4,T-63,3,0,1,2,2,7,-5,1,0
435,112,1,T-84,3,2,1,0,4,0,4,7,1
436,112,2,T-46,3,1,1,1,3,2,1,4,1
437,112,3,T-70,3,1,1,1,3,5,-2,4,0
438,112,4,T-30,3,0,1,2,1,4,-3,1,0
439,113,1,T-03,3,3,0,0,7,1,6,9,1
440,113,2,T-71,3,1,1,1,5,6,-1,4,1
441,113,3,T-33,3,1,0,2,2,5,-3,3,0
442,113,4,T-50,3,0,1,2,3,5,-2,1,0
443,114,1,T-83,3,1,2,0,4,3,1,5,1
444,114,2,T-28,3,1,2,0,2,1,1,5,1
445,114,3,T-69,3,1,1,1,3,3,0,4,0
446,114,4,T-01,3,0,1,2,0,2,-2,1,0
447,115,1,T-31,3,2,0,1,5,1,4,6,1
448,115,2,T-32,3,1,1,1,2,2,0,4,1
449,115,3,T-04,3,1,1,1,3,6,-3,4,0
450,115,4,T-66,3,1,0,2,2,3,-1,3,0
451,116,1,T-48,3,3,0,0,5,1,4,9,1
452,116,2,T-44,3,2,0,1,4,2,2,6,1
453,116,3,T-22,3,1,0,2,3,6,-3,3,0
454,116,4,T-11,3,0,0,3,2,5,-3,0,0
455,117,1,T-55,3,1,2,0,3,1,2,5,1
456,117,2,T-68,3,1,1,1,4,5,-1,4,1
457,117,3,T-49,3,0,3,0,2,2,0,3,0
458,117,4,T-41,3,0,2,1,4,5,-1,2,0
459,118,1,T-09,3,2,1,0,5,2,3,7,1
460,118,2,T-58,3,1,2,0,7,0,7,5,1
461,118,3,T-42,3,1,1,1,4,3,1,4,0
462,118,4,T-51,3,0,0,3,1,12,-11,0,0
463,119,1,T-73,3,2,0,1,4,2,2,6,1
464,119,2,T-13,3,2,0,1,3,2,1,6,1
465,119,3,T-75,3,1,1,1,1,1,0,4,0
466,119,4,T-35,3,0,1,2,0,3,-3,1,0
483,124,1,T-09,3,2,1,0,7,2,5,7,1
484,124,2,T-46,3,2,1,0,4,1,3,7,1
485,124,3,T-18,3,1,0,2,6,6,0,3,0
486,124,4,T-11,3,0,0,3,1,9,-8,0,0
487,125,1,T-48,3,3,0,0,10,3,7,9,1
488,125,2,T-13,3,2,0,1,5,3,2,6,1
489,125,3,T-73,3,1,0,2,4,7,-3,3,0
490,125,4,T-04,3,0,0,3,3,9,-6,0,0
491,126,1,T-16,3,3,0,0,9,2,7,9,1
492,126,2,T-33,3,1,1,1,2,4,-2,4,1
493,126,3,T-42,3,1,0,2,4,5,-1,3,0
494,126,4,T-44,3,0,1,2,2,6,-4,1,0
495,127,1,T-17,3,2,1,0,4,1,3,7,1
496,127,2,T-84,3,2,0,1,4,4,0,6,1
497,127,3,T-41,3,1,0,2,2,3,-1,3,0
498,127,4,T-28,3,0,1,2,2,4,-2,1,0
499,128,1,T-30,3,2,1,0,8,2,6,7,1
500,128,2,T-75,3,2,0,1,7,6,1,6,1
501,128,3,T-25,3,1,1,1,3,3,0,4,0
502,128,4,T-35,3,0,0,3,1,8,-7,0,0
503,129,1,T-03,3,3,0,0,6,3,3,9,1
504,129,2,T-50,3,1,1,1,3,3,0,4,1
505,129,3,T-08,3,1,0,2,4,4,0,3,0
506,129,4,T-38,3,0,1,2,1,4,-3,1,0
507,130,1,T-31,3,2,1,0,7,2,5,7,1
508,130,2,T-83,3,1,1,1,4,4,0,4,1
509,130,3,T-58,3,1,1,1,4,7,-3,4,0
510,130,4,T-32,3,0,1,2,4,6,-2,1,0
511,131,1,T-06,3,3,0,0,4,1,3,9,1
512,131,2,T-01,3,1,1,1,6,5,1,4,1
513,131,3,T-62,3,0,2,1,2,3,-1,2,0
514,131,4,T-71,3,0,1,2,3,6,-3,1,0
539,138,1,T-84,3,3,0,0,5,0,5,9,1
540,138,2,T-62,3,2,0,1,8,4,4,6,1
541,138,3,T-63,3,1,0,2,2,7,-5,3,0
542,138,4,T-26,3,0,0,3,2,6,-4,0,0
543,139,1,T-73,3,1,2,0,6,5,1,5,1
544,139,2,T-58,3,1,2,0,5,4,1,5,1
545,139,3,T-38,3,1,1,1,2,2,0,4,0
546,139,4,T-47,3,0,1,2,2,4,-2,1,0
547,140,1,T-30,3,2,1,0,3,1,2,7,1
548,140,2,T-22,3,1,2,0,2,1,1,5,1
549,140,3,T-56,3,1,0,2,2,2,0,3,0
550,140,4,T-04,3,0,1,2,2,5,-3,1,0
551,141,1,T-18,3,3,0,0,7,1,6,9,1
552,141,2,T-03,3,1,1,1,3,5,-2,4,1
553,141,3,T-50,3,1,0,2,3,4,-1,3,0
554,141,4,T-37,3,0,1,2,2,5,-3,1,0
555,142,1,T-09,3,2,1,0,5,1,4,7,1
556,142,2,T-75,3,1,2,0,5,4,1,5,1
557,142,3,T-66,3,1,0,2,2,4,-2,3,0
558,142,4,T-17,3,0,1,2,2,5,-3,1,0
559,143,1,T-74,3,2,0,1,5,2,3,6,1
560,143,2,T-46,3,2,0,1,3,4,-1,6,1
561,143,3,T-71,3,1,0,2,3,3,0,3,0
562,143,4,T-31,3,1,0,2,2,4,-2,3,0
563,144,1,T-06,3,3,0,0,9,2,7,9,1
564,144,2,T-28,3,2,0,1,8,3,5,6,1
565,144,3,T-79,3,1,0,2,5,8,-3,3,0
566,144,4,T-54,3,0,0,3,2,11,-9,0,0
567,145,1,T-16,3,2,0,1,5,2,3,6,1
568,145,2,T-44,3,1,1,1,4,4,0,4,1
569,145,3,T-65,3,1,1,1,4,4,0,4,0
570,145,4,T-57,3,1,0,2,2,5,-3,3,0
595,152,1,T-48,3,2,1,0,5,1,4,7,1
596,152,2,T-65,3,2,0,1,5,4,1,6,1
597,152,3,T-25,3,1,1,1,4,3,1,4,0
598,152,4,T-59,3,0,0,3,1,7,-6,0,0
599,153,1,T-28,3,2,1,0,9,2,7,7,1
600,153,2,T-83,3,1,2,0,2,1,1,5,1
601,153,3,T-38,3,1,0,2,4,7,-3,3,0
602,153,4,T-85,3,0,1,2,1,6,-5,1,0
603,154,1,T-03,3,2,0,1,5,2,3,6,1
604,154,2,T-57,3,1,1,1,2,2,0,4,1
605,154,3,T-46,3,1,1,1,2,3,-1,4,0
606,154,4,T-63,3,1,0,2,3,5,-2,3,0
607,155,1,T-30,3,2,0,1,6,3,3,6,1
608,155,2,T-04,3,2,0,1,3,4,-1,6,1
609,155,3,T-79,3,1,1,1,1,1,0,4,0
610,155,4,T-22,3,0,1,2,1,3,-2,1,0
611,156,1,T-44,3,2,0,1,4,3,1,6,1
612,156,2,T-73,3,1,1,1,9,3,6,4,1
613,156,3,T-31,3,1,1,1,6,5,1,4,0
614,156,4,T-17,3,1,0,2,3,11,-8,3,0
615,157,1,T-47,3,2,1,0,4,1,3,7,1
616,157,2,T-18,3,1,2,0,4,1,3,5,1
617,157,3,T-06,3,1,1,1,1,2,-1,4,0
618,157,4,T-12,3,0,0,3,2,7,-5,0,0
619,158,1,T-09,3,2,0,1,3,1,2,6,1
620,158,2,T-75,3,2,0,1,4,3,1,6,1
621,158,3,T-11,3,1,1,1,4,4,0,4,0
